NAMA_WP,Kategori,Total_Omset_12Bulan,Total_Pajak_12Bulan,Efektivitas_Pajak,Risk_Label,prediction,Segmentasi
KIM SEO BANG,Resto Umum,49920000,5834924.463611881,11.68854779844981,0,0,Silver (Small)
FORE KOPI INDONESIA,Cafe,7022002570,820823690.8924729,11.68931058209162,0,2,Gold (Middle)
WARUNG KOPI GULAPADI,Cafe,1993790160,234672319.02718365,11.770161289930545,0,0,Silver (Small)
WN. NIKMAT,Resto Umum,20000000,2330930.523336183,11.65464562389354,0,0,Silver (Small)
WN. SEDERHANA,Resto Umum,23212000,2705525.6112144655,11.655713478066724,0,0,Silver (Small)
SOTO PATARUMAN 23,Resto Umum,127560000,14870138.518228553,11.65736682294178,0,0,Silver (Small)
WN. GARLIC AP,Resto Umum,66000000,7687385.591393744,11.647551808617465,0,0,Silver (Small)
WN. LACOOLA AP,Resto Umum,23900000,2784069.7231631353,11.648821444788963,0,0,Silver (Small)
WN. STEAK HOUSE AP,Resto Umum,18720000,2183274.1342837573,11.662781702724107,0,0,Silver (Small)
W.N. ENGKUS,Resto Umum,11500000,1340439.0601814638,11.655979664903514,0,0,Silver (Small)
WN. 2 TAX  SUTSEN,Resto Umum,35540000,4241498.839936054,11.934432773787623,0,0,Silver (Small)
SIROP BOJONG,Resto Umum,40000000,4661856.046676865,11.654636620301176,0,0,Silver (Small)
WN. ANEKA I,Resto Umum,41840000,4873474.120995093,11.647879357671059,0,0,Silver (Small)
ES ELIZABET,Resto Umum,146000000,17005646.408101637,11.647702061902322,0,0,Silver (Small)
BUBUR ZAENAL,Resto Umum,80000000,9323707.09335598,11.654632118500157,0,0,Silver (Small)
WN. H DJAJA,Resto Umum,58000000,6759903.250953812,11.65500319371281,0,0,Silver (Small)
WN. POJOK DADAHA,Resto Umum,44000000,5124925.394261738,11.64755453762544,0,0,Silver (Small)
KOREAN MONSTER,Resto Umum,16324000,1904257.3117376235,11.665375593558885,0,0,Silver (Small)
WN. SAUNG SUNDA,Resto Umum,25330000,2950354.89422443,11.64766481051975,0,0,Silver (Small)
WN. SIOMAY DAN PEMPEK AP,Resto Umum,35000000,4079900.6823821305,11.65685509588434,0,0,Silver (Small)
